Provinsi,Total Tempat Tidur,Jumlah Penduduk,Rasio
ACEH,4218,5388.1,0.782836250255192
BALI,3133,4414.4,0.7097227256252265
BANTEN,4531,12895.3,0.35136832799547124
BENGKULU,1621,1994.3,0.8128165271022414
D I YOGYAKARTA,2327,3919.2,0.5937436211471729
DKI JAKARTA,4147,10576.4,0.39209939109715974
GORONTALO,1170,1186.3,0.9862597993762118
JAMBI,2603,3604.2,0.722212973752844
JAWA BARAT,19403,49565.2,0.3914641724435693
JAWA TENGAH,22077,34738.2,0.6355251567438728
JAWA TIMUR,19232,39955.9,0.4813306670604341
KALIMANTAN BARAT,3159,5104.9,0.6188172148328077
KALIMANTAN SELATAN,2709,4268.6,0.6346343063299442
KALIMANTAN TENGAH,1368,2686.3,0.5092506421471913
KALIMANTAN TIMUR,2967,3664.7,0.8096160667994652
KALIMANTAN UTARA,644,708.4,0.9090909090909092
KEPULAUAN BANGKA BELITUNG,1349,1469.8,0.9178119472037012
KEPULAUAN RIAU,1545,2309.5,0.6689759688244209
LAMPUNG,4376,8534.8,0.5127243754979613
MALUKU,1506,1787.1,0.8427060600973645
MALUKU UTARA,1006,1252.3,0.8033218877265831
NUSA TENGGARA BARAT,2527,5225.9,0.4835530721980903
NUSA TENGGARA TIMUR,3529,5513.4,0.6400769035440926
PAPUA,2804,3393.1,0.8263829536412131
PAPUA BARAT,1213,986.0,1.2302231237322516
RIAU,3493,6951.2,0.5025031649211648
SULAWESI BARAT,979,1378.1,0.7103983745736885
SULAWESI SELATAN,5680,8888.8,0.6390063900639007
SULAWESI TENGAH,2561,3081.7,0.8310348184443652
SULAWESI TENGGARA,1766,2703.5,0.6532272979471057
SULAWESI UTARA,3565,2512.9,1.418679613195909
SUMATERA BARAT,3517,5545.7,0.6341850442685324
SUMATERA SELATAN,5142,8600.8,0.5978513626639382
SUMATERA UTARA,11671,14798.4,0.7886663423072765
